,0
cc_unresponsive,2.2095000493639208e-06
cc_swallowedforeignbody,2.131235789465838e-06
cc_fever,2.0977975427239318e-06
femgenitca,2.0409193010002328e-06
bonectcncr,1.9961470591526256e-06
cc_abdominaldistention,1.974309142657698e-06
cc_pain,1.9678948296244242e-06
maintchemr,1.9283415203087055e-06
cc_breastpain,1.8569050240040289e-06
meds_blood,1.8443199471572257e-06
stomchcancr,1.8370422684508311e-06
cc_rectalbleeding,1.7133122429445075e-06
rctmanusca,1.6837762767992099e-06
cc_woundre-evaluation,1.6103256416112107e-06
cc_fingerswelling,1.58530667073426e-06
cc_seizure-newonset,1.5847619901435024e-06
meds_antiinfectives,1.492189788781589e-06
ecodestransportnotmvt,1.4381900198121925e-06
otrespirca,1.3898671227565535e-06
cc_stdcheck,1.3542817082351554e-06
ecodescutpierce,1.3327340441090991e-06
lungexternl,1.3085960198972534e-06
cc_chills,1.289546705868951e-06
otperintdx,1.2787840966839129e-06
meds_biologicals,1.2528472038581838e-06
cysticfibro,1.2162137497382137e-06
cc_influenza,1.1636326848663965e-06
lowbirthwt,1.1345642400705244e-06
rehab,1.107079191014685e-06
respdistres,1.103284818531504e-06
inducabortn,1.0815333822214315e-06
testiscancr,1.0107462686242275e-06
gangrene,1.0073128075722816e-06
cc_trauma,8.727231449379033e-07
cc_blurredvision,6.729433345305046e-07
malgenitca,5.234480053565693e-07
cc_conjunctivitis,5.105710112211565e-07
hemorrpreg,5.023551295243691e-07
cc_hyperglycemia,4.74715757044995e-07
shock,4.1157752393491944e-07
ecodesfirearm,3.7329130957569485e-07
cc_motorcyclecrash,3.6250843585578414e-07
acutphanm,3.253634218906416e-07
longpregncy,3.048043066920763e-07
fuo,2.862833305026523e-07
pregtestur_npos,2.51198325458165e-07
cc_burn,1.9849723230809902e-07
amniosdx,1.8186705231183052e-07
cc_ingestion,1.7639392831488652e-07
cc_exposuretostd,1.605775182491256e-07
birthtrauma,1.2101341797358108e-07
poisonpsych,9.569583763950638e-08
ecodesotherspecifiednec,7.456842313994195e-08
ecodesmachinery,0.0
cc_seizures,0.0
pelvicobstr,0.0
ecodesnaturalenvironment,0.0
ecodespedalcyclistnotmvt,0.0
ecodesplaceofoccurrence,0.0
ecodespoisoning,0.0
ecodesstruckbyagainst,0.0
ecodessuffocation,0.0
fetaldistrs,0.0
ecodesfireburn,0.0
liveborn,0.0
malposition,0.0
obrelatedperintrauma,0.0
perintjaund,0.0
meds_investigational,0.0
prevcsectn,0.0
septicemiaexceptinlabor,0.0
umbilcord,0.0
ecodesdrowningsubmersion,0.0
pregtestur_last,0.0
"bloodculture,routine_last",0.0
"bloodculture,routine_npos",0.0
ecodesadverseeffectsofmedicalcare,0.0
earlylabor,0.0
meds_antiallergy,0.0
birthasphyx,0.0
abortcompl,0.0
